epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,90.6219,2.12757,4.02285,4.42925,2.00052,0,0.78127,0.02159,0.02661,0.01155,0.74202,0.005,0.00321,0.00151,1.17163,10.1027,13.4774,1.08216,0,0.00033189,0.00033189,0.0671429
2,180.213,2.11791,3.43201,3.19128,1.97946,0,0.37067,0.22443,0.11638,0.05504,0.37986,0.12453,0.06952,0.02113,1.16285,3.28672,75.3641,1.1351,0,0.000665061,0.000665061,0.0341427
3,267.937,2.03055,3.24563,2.73254,1.91349,0,0.52511,0.19711,0.16376,0.06666,0.50307,0.19165,0.15486,0.06408,1.13426,2.23542,21.9602,1.04726,0,0.000997582,0.000997582,0.00114188
4,355.39,1.94562,3.08355,2.48182,1.82702,0,0.56709,0.23756,0.24949,0.10744,0.56088,0.22533,0.23121,0.0958,1.08228,1.75236,18.0562,1.02106,0,0.000997803,0.000997803,0.000997803
5,443.503,1.81616,2.86979,2.17093,1.71739,0,0.41895,0.38398,0.33868,0.16353,0.48437,0.32149,0.3169,0.1491,0.99073,1.57335,24.3001,0.94237,0,0.000996097,0.000996097,0.000996097
6,531.822,1.74148,2.69252,1.94908,1.66319,0,0.4664,0.39026,0.33797,0.16266,0.49353,0.3695,0.32703,0.15434,0.96091,1.57146,16.942,0.93131,0,0.000993906,0.000993906,0.000993906
7,618.788,1.66343,2.58641,1.83781,1.60588,0,0.42174,0.45677,0.36708,0.19246,0.41096,0.42302,0.33537,0.16744,0.95743,1.71082,12.8024,0.92317,0,0.000991232,0.000991232,0.000991232
8,707.029,1.60719,2.52115,1.68715,1.5539,0,0.43961,0.34475,0.35106,0.18328,0.41268,0.30526,0.3053,0.15402,0.93268,1.80963,15.1238,0.89295,0,0.000988079,0.000988079,0.000988079
9,794.233,1.55467,2.45241,1.58564,1.50558,0,0.69223,0.37109,0.43926,0.22871,0.68662,0.3904,0.42473,0.21851,0.8971,1.47152,7.77776,0.85842,0,0.000984449,0.000984449,0.000984449
10,881.251,1.51233,2.30809,1.52188,1.47549,0,0.46383,0.41988,0.3918,0.20449,0.46709,0.41519,0.3811,0.18941,0.91795,1.52504,13.465,0.86935,0,0.000980345,0.000980345,0.000980345
11,968.577,1.4919,2.29379,1.43987,1.45064,0,0.49953,0.41922,0.43314,0.23317,0.46037,0.42388,0.41064,0.20666,0.90033,1.44738,19.6957,0.86793,0,0.000975773,0.000975773,0.000975773
12,1055.84,1.42317,2.23,1.3805,1.41057,0,0.58951,0.4775,0.48968,0.26283,0.58178,0.47228,0.45144,0.23479,0.886,1.37866,9.18151,0.83254,0,0.000970736,0.000970736,0.000970736
13,1143.53,1.39919,2.15678,1.28597,1.38568,0,0.48022,0.55801,0.47593,0.26595,0.47834,0.53923,0.45832,0.2436,0.89146,1.38784,11.6062,0.84714,0,0.000965239,0.000965239,0.000965239
14,1230.39,1.37951,2.1332,1.24176,1.36756,0,0.58097,0.43668,0.44711,0.24491,0.56326,0.45174,0.43568,0.21773,0.90263,1.38883,4.88753,0.86563,0,0.000959289,0.000959289,0.000959289
15,1317.68,1.32268,2.05598,1.18959,1.33842,0,0.57143,0.53662,0.56239,0.29511,0.52924,0.50095,0.49135,0.24119,0.87025,1.42251,7.97909,0.83908,0,0.000952889,0.000952889,0.000952889
16,1405.11,1.26907,2.01433,1.11567,1.29147,0,0.70691,0.47513,0.52722,0.27756,0.70588,0.48031,0.53325,0.26997,0.90524,1.36497,5.97814,0.86073,0,0.000946048,0.000946048,0.000946048
17,1491.97,1.30685,1.98671,1.13366,1.31282,0,0.52918,0.48922,0.49553,0.26332,0.50558,0.46298,0.45172,0.23998,0.87298,1.43677,12.0956,0.83296,0,0.000938772,0.000938772,0.000938772
18,1578.72,1.26508,1.98612,1.10674,1.2814,0,0.48052,0.54461,0.5166,0.28408,0.49049,0.52484,0.48876,0.2547,0.82891,1.35312,10.1725,0.82215,0,0.000931067,0.000931067,0.000931067
19,1665.54,1.23825,1.91634,1.05865,1.2695,0,0.67697,0.50595,0.54137,0.2905,0.64886,0.47702,0.50255,0.26196,0.8741,1.42887,10.1271,0.8453,0,0.000922942,0.000922942,0.000922942
20,1752.62,1.17702,1.88228,1.0024,1.22234,0,0.55596,0.57049,0.57736,0.32441,0.56642,0.55009,0.53988,0.28864,0.82653,1.35973,5.83308,0.82071,0,0.000914405,0.000914405,0.000914405
21,1839.35,1.1611,1.86353,0.96923,1.21599,0,0.69363,0.53727,0.57502,0.33164,0.67616,0.5317,0.55716,0.29169,0.8057,1.32015,4.9103,0.81383,0,0.000905463,0.000905463,0.000905463
22,1926.61,1.17423,1.84607,0.953,1.22892,0,0.71189,0.53162,0.58292,0.34286,0.67528,0.5417,0.56504,0.30963,0.8269,1.31376,5.88519,0.80903,0,0.000896127,0.000896127,0.000896127
23,2013.83,1.13203,1.83311,0.92631,1.20348,0,0.69001,0.55732,0.58109,0.33693,0.67334,0.55267,0.56275,0.30753,0.83961,1.31033,6.06382,0.82599,0,0.000886404,0.000886404,0.000886404
24,2100.71,1.10395,1.8071,0.88835,1.1846,0,0.59174,0.57196,0.56064,0.31531,0.52972,0.56678,0.5272,0.28509,0.86251,1.24371,4.93168,0.83571,0,0.000876305,0.000876305,0.000876305
