epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,294.196,0.98892,1.62975,0.7669,1.15174,0,0.5666,0.60618,0.57234,0.32664,0.68993,0.52025,0.5325,0.2769,1.76469,3.14856,1.82474,1.88832,0,0.000166523,0.000166523,0.0668619
2,551.121,0.86761,1.37283,0.60929,1.06682,0,0.68986,0.62203,0.62415,0.37053,0.68958,0.60774,0.61137,0.32333,1.71245,2.70071,1.61765,1.74959,0,0.000333153,0.000333153,0.0336952
3,798.736,0.84114,1.2982,0.57263,1.04824,0,0.71781,0.62549,0.65126,0.38213,0.71505,0.60832,0.63322,0.3347,1.67918,2.72978,1.57858,1.72611,0,0.000499639,0.000499639,0.0005284
4,1042.83,0.81197,1.25296,0.54319,1.02917,0,0.73105,0.65705,0.67275,0.39819,0.70859,0.6287,0.6379,0.34633,1.65944,2.71571,1.61452,1.70276,0,0.000499512,0.000499512,0.000499512
5,1286.68,0.80353,1.24577,0.5519,1.022,0,0.73328,0.61981,0.64749,0.38191,0.70575,0.60416,0.60988,0.31998,1.64956,2.74873,1.57235,1.68273,0,0.000499132,0.000499132,0.000499132
6,1531,0.80201,1.2402,0.53695,1.01733,0,0.68738,0.63134,0.62445,0.37296,0.69481,0.59627,0.59982,0.33201,1.6973,2.6486,1.60764,1.71721,0,0.000498644,0.000498644,0.000498644
7,1775.17,0.77761,1.22467,0.53054,1.0064,0,0.69776,0.64896,0.64151,0.38098,0.68884,0.60232,0.6095,0.33943,1.66392,2.75186,1.54133,1.72523,0,0.000498048,0.000498048,0.000498048
8,2019.02,0.7725,1.20747,0.51873,0.99774,0,0.72542,0.62344,0.64538,0.38761,0.69562,0.59626,0.60899,0.33602,1.66219,2.69797,1.54205,1.72592,0,0.000497345,0.000497345,0.000497345
9,2263.07,0.76784,1.20745,0.51541,0.99675,0,0.67259,0.66183,0.64121,0.37962,0.64479,0.63527,0.60712,0.32972,1.66083,2.71613,1.55396,1.72186,0,0.000496534,0.000496534,0.000496534
10,2507.07,0.75649,1.18932,0.50754,0.99193,0,0.72142,0.65443,0.66242,0.39051,0.74596,0.60997,0.63661,0.34516,1.66152,2.70976,1.58842,1.73119,0,0.000495616,0.000495616,0.000495616
11,2755.43,0.75405,1.18397,0.50704,0.9901,0,0.69793,0.66292,0.65163,0.38945,0.66428,0.63253,0.61939,0.33711,1.65169,2.73079,1.52999,1.70946,0,0.000494592,0.000494592,0.000494592
12,2999.39,0.75027,1.18798,0.50021,0.9878,0,0.70932,0.65746,0.6492,0.39607,0.67118,0.62622,0.61639,0.34309,1.66746,2.75444,1.61823,1.72933,0,0.000493461,0.000493461,0.000493461
13,3243.14,0.73906,1.16333,0.49409,0.9788,0,0.71829,0.64547,0.64644,0.38251,0.70068,0.62064,0.62035,0.33828,1.67408,2.82104,1.64324,1.73383,0,0.000492224,0.000492224,0.000492224
14,3487.45,0.73798,1.17604,0.49524,0.98158,0,0.75285,0.64055,0.65022,0.39772,0.72931,0.61554,0.62563,0.33431,1.64206,2.72848,1.55668,1.6915,0,0.000490883,0.000490883,0.000490883
15,3731.15,0.73872,1.15893,0.49761,0.97591,0,0.71657,0.63282,0.63938,0.38552,0.68437,0.61254,0.61658,0.33508,1.65422,2.68601,1.58288,1.73087,0,0.000489437,0.000489437,0.000489437
16,3975.24,0.72763,1.16286,0.48697,0.977,0,0.75216,0.6198,0.65063,0.38706,0.74565,0.59709,0.61936,0.33635,1.67243,2.75453,1.55626,1.76683,0,0.000487886,0.000487886,0.000487886
17,4219.07,0.72449,1.15386,0.48282,0.97353,0,0.72493,0.63158,0.65035,0.39059,0.6739,0.60884,0.59818,0.32852,1.66663,2.79714,1.5635,1.76239,0,0.000486233,0.000486233,0.000486233
18,4462.94,0.72377,1.15034,0.47905,0.97756,0,0.6936,0.64444,0.64232,0.37242,0.68766,0.62953,0.60817,0.32099,1.66859,2.80134,1.56078,1.75301,0,0.000484477,0.000484477,0.000484477
19,4706.85,0.71238,1.13365,0.47867,0.9642,0,0.71848,0.64757,0.6548,0.3872,0.6976,0.62651,0.62154,0.33811,1.68673,2.6702,1.51153,1.78056,0,0.00048262,0.00048262,0.00048262
20,4950.86,0.70903,1.1235,0.4719,0.96577,0,0.70873,0.65824,0.66023,0.39684,0.67487,0.65078,0.63289,0.34264,1.68956,2.74333,1.53142,1.78421,0,0.000480661,0.000480661,0.000480661
21,5194.75,0.70133,1.11535,0.47325,0.96061,0,0.74395,0.64563,0.6542,0.39116,0.72749,0.61314,0.62157,0.33348,1.69127,2.80645,1.60389,1.77154,0,0.000478603,0.000478603,0.000478603
22,5438.65,0.70458,1.12421,0.47166,0.96026,0,0.7069,0.64867,0.65218,0.388,0.68416,0.62697,0.61733,0.33716,1.6609,2.79901,1.51458,1.74524,0,0.000476445,0.000476445,0.000476445
23,5682.71,0.70357,1.12611,0.47443,0.96084,0,0.76159,0.62073,0.63816,0.38024,0.71406,0.59751,0.59379,0.32705,1.68422,2.78649,1.54987,1.76606,0,0.000474189,0.000474189,0.000474189
24,5926.55,0.6989,1.12207,0.46277,0.95833,0,0.75844,0.63234,0.65115,0.38877,0.71564,0.61772,0.6165,0.34047,1.68464,2.7629,1.53719,1.76042,0,0.000471835,0.000471835,0.000471835
25,6170.46,0.68598,1.10535,0.45549,0.95148,0,0.73313,0.62152,0.64405,0.38863,0.68891,0.6088,0.60559,0.33382,1.64314,2.75891,1.597,1.73575,0,0.000469386,0.000469386,0.000469386
26,6414.18,0.68982,1.09798,0.45828,0.95194,0,0.74183,0.649,0.65928,0.40349,0.72051,0.63491,0.62785,0.34359,1.67261,2.78529,1.51458,1.77899,0,0.000466841,0.000466841,0.000466841
27,6658.17,0.68364,1.08534,0.45203,0.95188,0,0.72506,0.65417,0.65381,0.39062,0.70426,0.63337,0.62518,0.33968,1.65353,2.80234,1.58407,1.75561,0,0.000464203,0.000464203,0.000464203
28,6902.26,0.68766,1.09281,0.45443,0.9545,0,0.7052,0.64849,0.63271,0.37586,0.68259,0.62699,0.6022,0.33808,1.66547,2.78025,1.59655,1.77411,0,0.000461471,0.000461471,0.000461471
29,7146.82,0.66858,1.0888,0.44966,0.94139,0,0.72298,0.65768,0.64281,0.38302,0.68217,0.63106,0.60674,0.33833,1.67204,2.79331,1.58407,1.78741,0,0.000458648,0.000458648,0.000458648
30,7390.89,0.67815,1.07685,0.44615,0.94581,0,0.76774,0.64024,0.6719,0.39969,0.71893,0.63358,0.63827,0.34561,1.65045,2.75617,1.53426,1.76002,0,0.000455734,0.000455734,0.000455734
31,7635.22,0.66332,1.07353,0.4423,0.93993,0,0.73902,0.63485,0.65332,0.39631,0.72642,0.61045,0.62686,0.34209,1.62871,2.76006,1.57387,1.72105,0,0.000452732,0.000452732,0.000452732
32,7879.17,0.66451,1.06132,0.43982,0.9393,0,0.70467,0.65432,0.6593,0.3981,0.70178,0.62974,0.63148,0.34852,1.63794,2.77924,1.55131,1.75359,0,0.000449641,0.000449641,0.000449641
33,8123.23,0.65945,1.06056,0.43811,0.94046,0,0.7457,0.66494,0.65289,0.39646,0.7172,0.64326,0.61969,0.34097,1.66761,2.83821,1.49713,1.77795,0,0.000446464,0.000446464,0.000446464
34,8366.86,0.65851,1.05903,0.43451,0.9351,0,0.69875,0.65807,0.63845,0.3878,0.67381,0.63504,0.61244,0.33577,1.6684,2.93296,1.52744,1.78246,0,0.000443202,0.000443202,0.000443202
35,8610.54,0.65007,1.06014,0.43014,0.93318,0,0.75337,0.62978,0.6539,0.38818,0.71606,0.61099,0.61319,0.33757,1.65567,2.89043,1.55346,1.75669,0,0.000439856,0.000439856,0.000439856
36,8854.59,0.64697,1.03948,0.43179,0.93005,0,0.70998,0.6734,0.66704,0.4023,0.67234,0.64679,0.6254,0.34624,1.65307,2.79434,1.51866,1.76762,0,0.000436428,0.000436428,0.000436428
37,9098.88,0.64015,1.04041,0.42516,0.93007,0,0.742,0.62664,0.65096,0.39573,0.70269,0.61288,0.61921,0.34605,1.64419,2.77224,1.50102,1.76155,0,0.00043292,0.00043292,0.00043292
38,9343,0.63808,1.03517,0.42746,0.92926,0,0.72343,0.65846,0.66153,0.3998,0.69122,0.63556,0.62337,0.3414,1.63761,2.9023,1.47187,1.76429,0,0.000429332,0.000429332,0.000429332
