epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,6186.83,0.91571,1.49742,0.68767,1.08951,0,0.64616,0.62323,0.608,0.34946,0.63131,0.5917,0.57636,0.31087,1.62795,2.58422,1.64484,1.68033,0,0.000832349,0.000832349,0.000832349
29,6404.24,0.90104,1.46872,0.66791,1.0741,0,0.64175,0.59251,0.58257,0.3363,0.64417,0.58071,0.56263,0.3063,1.66693,2.56524,1.52409,1.72396,0,0.000820525,0.000820525,0.000820525
30,6621.88,0.88107,1.45844,0.66266,1.06224,0,0.62902,0.636,0.60812,0.36175,0.62268,0.58999,0.58575,0.31391,1.61596,2.75802,1.55057,1.68721,0,0.000808389,0.000808389,0.000808389
31,6838.48,0.86763,1.42963,0.64438,1.05623,0,0.62717,0.62577,0.591,0.34422,0.6325,0.60153,0.58003,0.30529,1.623,2.55616,1.56127,1.6828,0,0.000795954,0.000795954,0.000795954
32,7056.26,0.8421,1.40377,0.62003,1.04414,0,0.6633,0.58361,0.59898,0.35323,0.65463,0.57421,0.57668,0.31419,1.6096,2.54038,1.4585,1.68525,0,0.000783231,0.000783231,0.000783231
33,7273.88,0.82996,1.37637,0.62122,1.03124,0,0.65428,0.59852,0.60642,0.35269,0.62525,0.59158,0.58016,0.31406,1.6098,2.59729,1.50796,1.67557,0,0.000770234,0.000770234,0.000770234
34,7491.14,0.82626,1.38054,0.60403,1.02839,0,0.67018,0.62224,0.60802,0.35759,0.63888,0.58928,0.57471,0.3096,1.59733,2.68137,1.4347,1.67928,0,0.000756976,0.000756976,0.000756976
35,7707.9,0.79661,1.35313,0.57905,1.01831,0,0.71765,0.57446,0.61509,0.36341,0.69414,0.57119,0.59199,0.32167,1.63242,2.64883,1.44638,1.71366,0,0.000743468,0.000743468,0.000743468
36,7926.96,0.79007,1.33706,0.57695,1.00973,0,0.65485,0.62295,0.60277,0.3494,0.6332,0.5964,0.56651,0.31058,1.61714,2.56303,1.50374,1.69152,0,0.000729725,0.000729725,0.000729725
37,8144.71,0.78397,1.30936,0.56433,1.0056,0,0.67471,0.59354,0.60597,0.35066,0.656,0.57614,0.5717,0.30717,1.60722,2.67104,1.52972,1.67063,0,0.000715761,0.000715761,0.000715761
38,8362.36,0.76808,1.3009,0.55834,0.99441,0,0.65643,0.61608,0.62518,0.37071,0.64028,0.594,0.59393,0.32631,1.61964,2.72646,1.49431,1.70681,0,0.000701588,0.000701588,0.000701588
39,8579.22,0.75194,1.28028,0.53833,0.98878,0,0.6658,0.61406,0.59532,0.35441,0.63492,0.60298,0.56252,0.30896,1.61615,2.62119,1.52106,1.69331,0,0.000687222,0.000687222,0.000687222
40,8796.74,0.75645,1.27655,0.54064,0.98893,0,0.71287,0.59668,0.62659,0.36593,0.68235,0.58531,0.5875,0.32198,1.61043,2.66975,1.47389,1.68695,0,0.000672675,0.000672675,0.000672675
41,9014.52,0.73296,1.25616,0.52013,0.97687,0,0.67095,0.62458,0.61129,0.35888,0.64605,0.61743,0.58748,0.3168,1.59867,2.56838,1.48203,1.67678,0,0.000657963,0.000657963,0.000657963
42,9232.16,0.72456,1.22172,0.51083,0.97021,0,0.66978,0.59962,0.60994,0.35754,0.67697,0.59687,0.58588,0.31836,1.61872,2.60312,1.49451,1.70557,0,0.000643101,0.000643101,0.000643101
43,9449.27,0.71089,1.21034,0.50656,0.96299,0,0.68167,0.59101,0.60111,0.35809,0.6634,0.57662,0.57269,0.31827,1.59872,2.76755,1.46559,1.69942,0,0.000628101,0.000628101,0.000628101
44,9666.59,0.7024,1.19912,0.49934,0.9633,0,0.66145,0.64813,0.63328,0.37697,0.65522,0.63413,0.59804,0.32614,1.60212,2.76139,1.43581,1.68763,0,0.000612981,0.000612981,0.000612981
45,9884.22,0.68821,1.19847,0.49726,0.95133,0,0.68946,0.62495,0.62911,0.3738,0.6939,0.57029,0.58098,0.32399,1.60167,2.71398,1.43861,1.71316,0,0.000597754,0.000597754,0.000597754
46,10101.6,0.68066,1.17028,0.49306,0.94699,0,0.69238,0.6079,0.59952,0.35976,0.69521,0.58529,0.57865,0.31801,1.59043,2.70824,1.47993,1.68714,0,0.000582435,0.000582435,0.000582435
47,10318.6,0.67252,1.15498,0.47614,0.94453,0,0.7133,0.62671,0.62667,0.37079,0.67587,0.60507,0.59331,0.32363,1.5873,2.67222,1.3794,1.70493,0,0.00056704,0.00056704,0.00056704
48,10536.5,0.66,1.14264,0.472,0.93795,0,0.6686,0.63314,0.61928,0.37051,0.68579,0.59828,0.6007,0.32592,1.57926,2.68997,1.48321,1.67843,0,0.000551584,0.000551584,0.000551584
49,10754.3,0.64615,1.12928,0.46082,0.92889,0,0.71512,0.64531,0.64087,0.38115,0.69751,0.62455,0.6152,0.33076,1.58698,2.71984,1.39229,1.69639,0,0.000536081,0.000536081,0.000536081
50,10971.6,0.64836,1.12255,0.45666,0.93128,0,0.73281,0.64838,0.64438,0.37987,0.70533,0.62922,0.61168,0.33626,1.58059,2.72632,1.36859,1.71905,0,0.000520548,0.000520548,0.000520548
51,11188.6,0.6322,1.12397,0.45018,0.92817,0,0.68829,0.63992,0.62157,0.36804,0.66921,0.62801,0.60333,0.32983,1.59078,2.7411,1.45751,1.71073,0,0.000505,0.000505,0.000505
52,11406.3,0.62664,1.09456,0.44633,0.92073,0,0.68192,0.63907,0.63782,0.38022,0.70349,0.6136,0.61602,0.33865,1.57097,2.74856,1.41824,1.70036,0,0.000489452,0.000489452,0.000489452
53,11624.1,0.61835,1.08978,0.43709,0.91381,0,0.69484,0.65897,0.64318,0.37652,0.66837,0.64141,0.60803,0.33097,1.58151,2.66568,1.41141,1.71246,0,0.000473919,0.000473919,0.000473919
54,11841.6,0.61603,1.07965,0.43898,0.91685,0,0.69219,0.65141,0.64075,0.3775,0.68902,0.63696,0.61681,0.33407,1.56632,2.77201,1.44001,1.70047,0,0.000458416,0.000458416,0.000458416
55,12059.9,0.6069,1.05524,0.42961,0.91434,0,0.69712,0.64732,0.64158,0.37906,0.74761,0.59024,0.6179,0.33605,1.58886,2.72656,1.44821,1.72723,0,0.00044296,0.00044296,0.00044296
56,12277.6,0.59929,1.04818,0.42313,0.91215,0,0.67919,0.65108,0.63207,0.37825,0.73156,0.58889,0.60476,0.32889,1.56251,2.81071,1.45926,1.70623,0,0.000427565,0.000427565,0.000427565
57,12492.9,0.58053,1.04751,0.41569,0.90031,0,0.73151,0.60922,0.64287,0.38735,0.69018,0.59556,0.61167,0.33692,1.56075,2.7873,1.42814,1.69441,0,0.000412246,0.000412246,0.000412246
58,12709.2,0.58283,1.03095,0.41255,0.90138,0,0.63898,0.667,0.6385,0.38467,0.72771,0.60014,0.6201,0.33651,1.55618,2.85978,1.44624,1.69449,0,0.000397019,0.000397019,0.000397019
59,12924.9,0.57063,1.02032,0.40842,0.90119,0,0.73536,0.61158,0.63598,0.38085,0.70818,0.59754,0.60538,0.33337,1.55972,2.80766,1.42838,1.70284,0,0.000381899,0.000381899,0.000381899
60,13140.8,0.56666,1.00962,0.40244,0.89324,0,0.72861,0.60573,0.62934,0.37831,0.68956,0.59958,0.60017,0.33334,1.56556,2.81331,1.4322,1.7029,0,0.000366899,0.000366899,0.000366899
61,13356.8,0.54889,1.00593,0.39555,0.88702,0,0.69506,0.63573,0.63497,0.37947,0.66845,0.62746,0.60366,0.33249,1.56352,2.83011,1.42855,1.70883,0,0.000352037,0.000352037,0.000352037
62,13572.8,0.54857,0.99055,0.39566,0.89058,0,0.6859,0.65674,0.65214,0.39124,0.73116,0.60508,0.62819,0.3436,1.56039,2.85412,1.38429,1.70024,0,0.000337325,0.000337325,0.000337325
63,13789.1,0.54385,0.99259,0.39068,0.88805,0,0.71219,0.65781,0.65442,0.39485,0.68968,0.64395,0.62823,0.33984,1.56565,2.85875,1.38627,1.70891,0,0.000322778,0.000322778,0.000322778
64,14005.5,0.54242,0.98608,0.38617,0.88684,0,0.67822,0.66508,0.64838,0.39035,0.68285,0.63191,0.61984,0.33894,1.57176,2.84213,1.4144,1.72212,0,0.000308412,0.000308412,0.000308412
65,14221.8,0.53113,0.96724,0.38168,0.87783,0,0.67642,0.67183,0.64906,0.39279,0.71254,0.61693,0.61816,0.33782,1.56178,2.89692,1.43259,1.71712,0,0.000294239,0.000294239,0.000294239
66,14437.5,0.52688,0.96116,0.37819,0.8771,0,0.65177,0.66526,0.61109,0.36739,0.64867,0.63635,0.5833,0.31426,nan,nan,nan,nan,0,0.000280275,0.000280275,0.000280275
67,14653.4,0.51691,0.94838,0.36994,0.87667,0,0.70409,0.64816,0.64589,0.38873,0.67291,0.63602,0.61597,0.33626,1.55931,2.91269,1.41355,1.71714,0,0.000266532,0.000266532,0.000266532
68,14869.4,0.51116,0.93546,0.36764,0.87027,0,0.70279,0.65104,0.65125,0.39282,0.69017,0.64457,0.61831,0.33887,1.55448,2.88666,1.42121,1.71959,0,0.000253024,0.000253024,0.000253024
69,15086.7,0.51045,0.92962,0.36597,0.8695,0,0.72842,0.64633,0.65171,0.39161,0.707,0.63128,0.61901,0.34032,1.56436,2.92648,1.43822,1.74442,0,0.000239766,0.000239766,0.000239766
70,15303.3,0.5033,0.92307,0.36432,0.86514,0,0.70026,0.65518,0.64686,0.39443,0.68926,0.65146,0.61823,0.33633,1.55903,2.91683,1.42986,1.74116,0,0.000226769,0.000226769,0.000226769
71,15520.6,0.49533,0.91971,0.35542,0.86285,0,0.70775,0.64017,0.64726,0.39511,0.68495,0.64091,0.61645,0.3372,1.5552,2.93505,1.43302,1.73405,0,0.000214046,0.000214046,0.000214046
72,15737.8,0.48877,0.90485,0.35327,0.86009,0,0.70925,0.6489,0.64749,0.39459,0.68693,0.64223,0.61291,0.33582,1.55577,2.94021,1.44236,1.73753,0,0.000201611,0.000201611,0.000201611
