epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,295.569,0.49448,0.91601,1.06913,0.46035,0,0,0,0,0,0,0,0,0,0.79837,1.24905,1.62305,0.7637,0,3.33208e-05,3.33208e-05,0.0667126
2,579.138,0.45463,0.75101,0.96294,0.44275,0,0,0,0,0,0,0,0,0,0.74106,1.21032,1.47805,0.75754,0,6.6589e-05,6.6589e-05,0.0334125
3,852.54,0.42942,0.72429,0.90902,0.43464,0,0.03279,0.00943,0.00018,4e-05,0.03279,0.00943,0.00018,5e-05,0.70774,1.15315,1.42192,0.73236,0,9.95972e-05,9.95972e-05,0.000112162
4,1125.61,0.40339,0.69107,0.85762,0.40909,0,0.04418,0.05189,0.00364,0.00107,0.0241,0.0283,0.0018,0.0004,0.7335,1.16622,1.41275,0.73681,0,9.91232e-05,9.91232e-05,9.91232e-05
5,1401.07,0.3875,0.66122,0.83367,0.39859,0,0.0145,0.09434,0.00169,0.00048,0.01378,0.08962,0.00153,0.00036,0.7041,1.1168,1.43585,0.71692,0,9.84449e-05,9.84449e-05,9.84449e-05
6,1675.66,0.37937,0.62368,0.79032,0.38979,0,0.02116,0.10849,0.00433,0.00155,0.0184,0.09434,0.00469,0.00132,0.67712,1.11304,1.3661,0.69861,0,9.75773e-05,9.75773e-05,9.75773e-05
7,1949.14,0.36434,0.59856,0.76352,0.3718,0,0.01288,0.08019,0.00223,0.00056,0.01045,0.10849,0.00259,0.00072,0.6963,1.06692,1.37084,0.71058,0,9.65239e-05,9.65239e-05,9.65239e-05
8,2225.72,0.34981,0.57962,0.7367,0.37023,0,0.01158,0.16038,0.00245,0.0007,0.01158,0.16038,0.00255,0.00067,0.71485,1.08642,1.45079,0.72744,0,9.52889e-05,9.52889e-05,9.52889e-05
9,2499.81,0.34537,0.57437,0.70093,0.36204,0,0.04371,0.0283,0.00889,0.00209,0.06764,0.0283,0.01035,0.00313,0.68842,1.05155,1.61962,0.70508,0,9.38772e-05,9.38772e-05,9.38772e-05
10,2777.08,0.33983,0.55136,0.67312,0.36122,0,0.18121,0.0566,0.02388,0.00703,0.15064,0.04717,0.02586,0.00949,0.69417,1.08409,1.55243,0.7137,0,9.22942e-05,9.22942e-05,9.22942e-05
11,3052.03,0.33687,0.5276,0.63127,0.35316,0,0.1609,0.04245,0.02377,0.01288,0.15628,0.06604,0.04097,0.01439,0.69867,1.05716,1.78827,0.71575,0,9.05463e-05,9.05463e-05,9.05463e-05
12,3326.69,0.32696,0.52122,0.61445,0.34838,0,0.13489,0.05189,0.03854,0.01846,0.23911,0.05189,0.0504,0.02255,0.68684,1.03686,1.6167,0.71136,0,8.86404e-05,8.86404e-05,8.86404e-05
13,3601.03,0.31381,0.49271,0.58357,0.33924,0,0.08193,0.04245,0.0279,0.01325,0.09756,0.06132,0.03902,0.01745,0.6899,1.05371,3.08252,0.71133,0,8.65839e-05,8.65839e-05,8.65839e-05
14,3874.61,0.31816,0.49357,0.55337,0.33823,0,0.18469,0.06132,0.04515,0.02264,0.21219,0.07075,0.05035,0.02354,0.67277,0.99302,1.71325,0.70503,0,8.43851e-05,8.43851e-05,8.43851e-05
15,4150.09,0.30579,0.48368,0.5326,0.33258,0,0.15819,0.04245,0.02959,0.01871,0.22145,0.0566,0.04749,0.02751,0.69625,1.08107,1.37639,0.72534,0,8.20525e-05,8.20525e-05,8.20525e-05
16,4426,0.29126,0.46276,0.5003,0.32095,0,0.06241,0.0566,0.02642,0.01625,0.07974,0.0566,0.02881,0.01453,0.69092,1.0536,5.91348,0.73217,0,7.95954e-05,7.95954e-05,7.95954e-05
17,4700.97,0.29174,0.45748,0.49825,0.31996,0,0.12979,0.06604,0.05203,0.02669,0.16784,0.09434,0.06213,0.0324,0.68226,1.01143,2.52165,0.71604,0,7.70234e-05,7.70234e-05,7.70234e-05
18,4975.98,0.29196,0.45399,0.46225,0.3153,0,0.09038,0.07547,0.04407,0.02282,0.11758,0.08491,0.0507,0.02406,0.68965,0.99324,2.15713,0.71911,0,7.43468e-05,7.43468e-05,7.43468e-05
19,5251.24,0.27939,0.44135,0.44426,0.30873,0,0.06683,0.08962,0.0438,0.02445,0.10689,0.08962,0.05914,0.02935,0.6952,0.98968,2.92005,0.73626,0,7.15761e-05,7.15761e-05,7.15761e-05
20,5526.68,0.28114,0.44238,0.44571,0.31252,0,0.1,0.07547,0.03992,0.02002,0.16809,0.10377,0.05119,0.02338,0.68927,1.0043,7.8051,0.7276,0,6.87222e-05,6.87222e-05,6.87222e-05
21,5801.86,0.26911,0.42314,0.41902,0.29899,0,0.0874,0.10849,0.04832,0.02346,0.12109,0.10849,0.0575,0.02796,0.68759,0.93988,2.67245,0.72045,0,6.57963e-05,6.57963e-05,6.57963e-05
22,6076.43,0.26078,0.41583,0.40491,0.29413,0,0.12531,0.08491,0.05292,0.02614,0.16062,0.09906,0.07247,0.03247,0.68991,0.97469,1.60662,0.72678,0,6.28101e-05,6.28101e-05,6.28101e-05
23,6352.71,0.25779,0.41485,0.3818,0.2945,0,0.03646,0.13679,0.03554,0.02031,0.07901,0.08019,0.05016,0.02363,0.67531,0.99638,10.8989,0.71959,0,5.97754e-05,5.97754e-05,5.97754e-05
24,6628.76,0.24883,0.40017,0.3875,0.28614,0,0.05755,0.07547,0.03094,0.0184,0.07428,0.09434,0.04755,0.02235,0.6862,1.03531,17.8072,0.73155,0,5.6704e-05,5.6704e-05,5.6704e-05
25,6904.43,0.24315,0.3955,0.36653,0.28259,0,0.09987,0.07075,0.04682,0.02567,0.08766,0.11321,0.06166,0.03149,0.67936,0.9946,7.92169,0.73516,0,5.36081e-05,5.36081e-05,5.36081e-05
26,7180.61,0.23502,0.3763,0.34189,0.27602,0,0.12124,0.08019,0.05116,0.02538,0.13127,0.09434,0.06223,0.02758,0.67945,1.00247,5.64713,0.74809,0,5.05e-05,5.05e-05,5.05e-05
27,7456.81,0.22603,0.36256,0.31754,0.26765,0,0.08678,0.08491,0.04781,0.0253,0.10353,0.09906,0.07087,0.0281,0.6637,1.00215,10.3485,0.73223,0,4.73919e-05,4.73919e-05,4.73919e-05
28,7734.49,0.23471,0.37697,0.31165,0.27703,0,0.06146,0.16509,0.05217,0.02795,0.11289,0.12736,0.0802,0.03251,0.67154,0.96358,5.48719,0.7364,0,4.4296e-05,4.4296e-05,4.4296e-05
29,8009.19,0.22227,0.35498,0.30666,0.26579,0,0.07784,0.11321,0.05018,0.02735,0.17563,0.09906,0.07955,0.03681,0.67352,0.98427,6.10176,0.73105,0,4.12246e-05,4.12246e-05,4.12246e-05
30,8285.17,0.21925,0.35099,0.29171,0.26168,0,0.07374,0.10377,0.04985,0.02499,0.09162,0.11792,0.06487,0.03309,0.66425,1.01543,17.2775,0.73207,0,3.81899e-05,3.81899e-05,3.81899e-05
31,8562.61,0.21494,0.3442,0.28069,0.25458,0,0.03757,0.11321,0.03368,0.01881,0.05718,0.13208,0.04891,0.02511,0.66174,1.00012,31.0717,0.72796,0,3.52037e-05,3.52037e-05,3.52037e-05
32,8839.06,0.21343,0.34669,0.27483,0.25694,0,0.03552,0.09906,0.03255,0.02108,0.06143,0.12736,0.05333,0.02593,0.66489,0.99762,26.5394,0.73993,0,3.22778e-05,3.22778e-05,3.22778e-05
33,9115.9,0.205,0.33261,0.27353,0.25066,0,0.03733,0.11321,0.03447,0.02183,0.06135,0.12736,0.05694,0.02656,0.6623,0.98294,28.3229,0.73422,0,2.94239e-05,2.94239e-05,2.94239e-05
34,9393.17,0.2011,0.32963,0.25018,0.24759,0,0.04311,0.09434,0.03603,0.02141,0.06956,0.13679,0.05592,0.02726,0.66223,0.99367,26.6281,0.73855,0,2.66532e-05,2.66532e-05,2.66532e-05
35,9673.18,0.19554,0.32709,0.25645,0.24206,0,0.02887,0.21226,0.03329,0.02167,0.04559,0.13208,0.05272,0.02492,0.66318,1.00566,38.2981,0.74421,0,2.39766e-05,2.39766e-05,2.39766e-05
36,9951.28,0.19733,0.32387,0.25328,0.24317,0,0.02543,0.1934,0.03125,0.02095,0.03134,0.12736,0.04451,0.02218,0.66629,1.0233,57.1671,0.74814,0,2.14046e-05,2.14046e-05,2.14046e-05
37,10229.1,0.19024,0.31037,0.23956,0.23792,0,0.02247,0.20283,0.02651,0.01915,0.02424,0.17925,0.02801,0.01906,0.66896,1.03457,74.8988,0.75512,0,1.89475e-05,1.89475e-05,1.89475e-05
38,10507.2,0.18586,0.3129,0.23311,0.23314,0,0.02057,0.17925,0.02281,0.01652,0.02176,0.18868,0.0267,0.01781,0.67234,1.0404,88.1375,0.75887,0,1.66149e-05,1.66149e-05,1.66149e-05
39,10784.9,0.18449,0.31044,0.22675,0.23248,0,0.01854,0.22642,0.02196,0.01638,0.02084,0.18868,0.02642,0.01761,0.67058,1.03533,98.8582,0.76019,0,1.44161e-05,1.44161e-05,1.44161e-05
40,11062.8,0.18324,0.30558,0.22274,0.23297,0,0.01709,0.22642,0.0215,0.016,0.02009,0.1934,0.02925,0.01778,0.66747,1.03652,108.815,0.76197,0,1.23596e-05,1.23596e-05,1.23596e-05
41,11342,0.18091,0.30199,0.21861,0.22896,0,0.01735,0.2217,0.02141,0.01613,0.01896,0.1934,0.03181,0.01801,0.66574,1.03669,115.549,0.76414,0,1.04537e-05,1.04537e-05,1.04537e-05
42,11618.3,0.18424,0.30766,0.22502,0.23459,0,0.01678,0.23585,0.0214,0.01614,0.01812,0.20283,0.03091,0.0179,0.66542,1.04041,123.166,0.76534,0,8.70577e-06,8.70577e-06,8.70577e-06
43,11894.6,0.17328,0.29767,0.21675,0.22581,0,0.01763,0.24528,0.02153,0.01616,0.0173,0.24057,0.02794,0.01756,0.66534,1.03732,127.987,0.7666,0,7.12282e-06,7.12282e-06,7.12282e-06
44,12172.3,0.17409,0.29926,0.20605,0.22895,0,0.01727,0.24057,0.02139,0.01595,0.01743,0.25,0.0266,0.01741,0.66504,1.03905,134.825,0.76802,0,5.71106e-06,5.71106e-06,5.71106e-06
45,12449.6,0.17284,0.30186,0.20165,0.22708,0,0.01671,0.23113,0.02115,0.01612,0.01727,0.25,0.02656,0.0174,0.66521,1.03579,140.606,0.76938,0,4.47606e-06,4.47606e-06,4.47606e-06
46,12728,0.1669,0.28947,0.20348,0.21888,0,0.01669,0.23585,0.0212,0.01595,0.01751,0.25,0.02649,0.01736,0.66553,1.03752,145.476,0.77191,0,3.4227e-06,3.4227e-06,3.4227e-06
47,13007.1,0.1709,0.29117,0.20851,0.22189,0,0.01764,0.25472,0.02151,0.01614,0.01698,0.24528,0.02611,0.01732,0.66554,1.04011,149.994,0.77286,0,2.55513e-06,2.55513e-06,2.55513e-06
48,13285.9,0.17011,0.29269,0.1994,0.22287,0,0.01736,0.25472,0.02151,0.01599,0.01743,0.20755,0.02616,0.01735,0.66555,1.04163,153.209,0.77305,0,1.87678e-06,1.87678e-06,1.87678e-06
49,13564.8,0.17195,0.29306,0.20072,0.22542,0,0.0174,0.25472,0.02152,0.016,0.0173,0.20755,0.0256,0.01732,0.66569,1.0422,155.521,0.77405,0,1.39032e-06,1.39032e-06,1.39032e-06
